Time,Plasma_Current (A),Plasma_Density (particlesm3),Plasma_Temperature (K),Fusion_Power (W),ICRH_Power (W),Radiation_Power (W),LHCD_Power (W),NBI_Power (W),Total_Heating_Power (W),Injection_Rate
1,-5.687170991839938,-1.3574155520910774e+17,-165802.29263592267,-948.1976663959956,-3718.1583833005634,-1748.1717624859575,1796.6716521433318,-14071.588610876122,-15993.075342033353,0.04439336082838083
2,3.2880084536773864,1.783916507947222e+17,-37586.987882153655,-1617.788960518054,6003.705804986524,-1004.9529689732227,-1150.7311783218568,-19595.792606421008,-14742.817979756343,1.0388626238761446e+17
3,12.13722453133011,8.730949122077904e+16,147566.4393795048,-1688.534102284641,-3260.219146422051,-3647.0433438219557,1385.149028291009,-2760.7128575744846,-4635.782975705526,2.0777252477522893e+17
4,-9.859496119424465,1.2767350420292821e+17,166259.87067973102,1721.728077393981,7697.756355290912,454.71338148817324,1275.3607986006423,3009.749680919694,11982.866834811248,3.116587871628434e+17
5,-11.49982342079741,-4.132067041651943e+16,76859.90038886457,4810.773596692741,-2922.4878485139106,2052.0282962448828,-3782.5943032596233,-4717.489856506558,-11422.572008280093,4.1554504955045786e+17
6,-6.597688612941119,-5.103784085937231e+16,241841.36169740625,-2252.08978235521,711.2908397894566,-766.5416850877898,2039.2392725807897,-10248.061301745323,-7497.531189375077,5.194313119380723e+17
7,-2.8513834272465663,6.037133820210653e+16,-212329.96872400324,4165.034482905221,-713.1619000956057,-1470.672166092816,-2859.080076493975,-1614.3125672767928,-5186.554543866374,6.233175743256868e+17
8,3.258362074382784,-1.3495696440858762e+17,211922.19424157197,2195.6397485356515,-609.1594271418974,446.08558818428895,2645.746684188817,4246.229190862703,6282.816447909623,7.272038367133012e+17
9,-2.568621656594554,5.53943389703876e+16,11605.089734444773,4819.310222771637,1364.777333615745,2428.769800129314,3639.373840900873,18037.420225347018,23041.571399863635,8.310900991009157e+17
10,8.630008145610894,-8.037631708319877e+16,836764.9656182784,736.3670106345537,4585.0995299793585,1552.7620307749821,906.3348847658108,-6762.458267750525,-1271.0238530053557,9.349763614885302e+17
11,2.982352240057134,6.430295073522888e+16,-58181.76059631276,358.9291657426784,3463.866914227475,1764.8267409089276,847.2667164805983,23767.418613747937,28078.55224445601,1.0388626238761446e+18
12,28.39495819594052,1.1395433652051008e+17,125340.94421143936,7233.527959934456,-2328.2807500530544,608.4051808642981,-274.8538814413291,211.16707373392637,-2391.967557760457,1.1427488862637591e+18
