Time (s),Plasma_Current (A),Plasma_Density (particlesm3),Plasma_Temperature (K),Fusion_Power (W),ICRH_Power (W),Radiation_Power (W),LHCD_Power (W),NBI_Power (W),Total_Heating_Power (W),Injection_Rate
0.0,-0.7354052755413512,2.8989149821051e+16,447368.700937155,11561.210470981146,-1064.631451337361,-2096.881249379948,1005.9271483456405,-3453.0120345636797,-3511.7163375554,-0.020970492565393777
0.06832732409652024,2.9291902403434307,3.180884968241855e+16,-421209.7299973014,4341.240913918078,3836.8292779534704,927.1251991522768,1419.5986594845936,8192.609991458108,13449.037928896174,4.254978157141627e+16
0.1366546481930405,-2.738377980855613,-2.6589710763578404e+16,25463.849292333623,-4414.686710047285,-1422.8765166924827,1169.1655308820764,1348.7721757191623,-6838.730198172699,-6912.834539146019,8.509956314283254e+16
0.20498197228956072,3.843290388499847,2.630055226517161e+16,-21926.187696743462,8806.424008840466,-2893.9569222970413,5237.668325989313,-1343.8857682658427,-2141.332636193989,-6379.175326756873,1.2764934471424882e+17
0.273309296386081,4.611817818716371,-3.1408918334594172e+16,37769.31351743548,-12781.365934596019,-4931.168005645665,7008.678098626727,405.0882277629338,6175.979304991487,1649.8995271087551,1.701991262856651e+17
0.34163662048260124,11.013146068886888,-8.296246449658411e+16,46211.231248595,-10917.744954114045,1786.9770255868762,1098.7816155021212,2284.855802339928,-2246.267201066169,1825.565626860635,2.1274890785708134e+17
0.40996394457912144,6.89640874923267,5.638950007873757e+16,200491.95742813864,34386.834257067705,5258.05574632079,-4377.0925311941755,4893.1340897310665,9843.042485754686,19994.232321806543,2.5529868942849763e+17
0.4782912686756417,-7.743862011997656,1.0252932956326622e+16,193488.6780042408,27365.298267113172,5112.110792897014,-692.2265369170218,-739.5779632004467,4330.121683486737,8702.654513183305,2.978484709999139e+17
0.546618592772162,1.3340361627794566,2.686617264996499e+16,-149830.12084263115,-12714.335443443864,-758.080600193462,-1899.3636217525661,1092.0648565964482,-6891.685759872498,-6557.701503469512,3.403982525713302e+17
0.6149459168686822,0.4308898952923106,-1.2812815720113516e+16,216154.8784941497,10059.344639462426,-631.4654951884975,-2037.3711981372264,-2974.274978377206,8608.784058052144,5003.0435844864405,3.8294803414274643e+17
0.6832732409652025,-0.26175734085068303,7.584167708275957e+16,135327.85724132147,9037.195058476638,-5412.3848531544545,370.95448931989245,-5278.857434432439,1748.7496634923828,-8942.49262409451,4.254978157141627e+17
0.7516005650617227,1.558137930116459,3.4201054320456184e+16,122784.88852232666,9656.530083774318,4075.526846033823,3314.596655742612,-2591.958954718553,6383.131878900389,7866.699770215659,4.68047597285579e+17
0.8199278891582429,0.1344755040711183,3.2707588168673184e+16,500437.70583150967,15949.345337201128,2825.203599161312,4302.553399016205,568.1004290942412,17330.838433556597,20724.14246181215,5.1059737885699526e+17
0.8882552132547632,-5.953349928194368,-3.755196397455627e+16,6282.958229382231,-5667.786582614066,5050.44039671172,1734.227569965981,5684.474144629692,-133.3172302630055,10601.597311078407,5.531471604284115e+17
0.9565825373512834,12.912218426703639,6.630817509151143e+16,638589.4358019682,29911.842035103953,-3511.202300817327,880.2889341998159,-788.3997775368703,6804.984590446924,2505.382512092727,5.956969419998278e+17
1.0249098614478036,7.9539253930169895,6.306796519348878e+16,-93341.7685511784,5576.102842124059,-2448.417977547503,1996.2571416782348,-752.5601989793254,6980.407669864266,3779.4294933374376,6.38246723571244e+17
1.093237185544324,-3.78644832146845,-1.613855108073674e+16,90767.68946354778,-395.11368463204326,1360.327516257726,3533.5428665147037,4147.320180696415,10451.319534914299,15958.96723186844,6.807965051426604e+17
1.1615645096408442,2.599063684153187,3.3335151987344704e+16,223779.96293148893,11584.031159255881,10201.974812521785,3742.923308524779,4774.382404718363,1472.7623684859855,16449.119585726134,7.233462867140767e+17
1.2298918337373643,-3.990534695603829,-1.1393430190834168e+16,167088.93275150095,148.83738767518116,-905.759009044416,-1055.6480039899966,2504.232639344775,-2140.1613188498723,-541.687688549513,7.658960682854929e+17
1.2982191578338846,11.380044933804768,-1.5767493813731176e+16,424375.17627682793,74.26991886488395,-7.172392625583143,6594.8780364441445,4912.680096522357,3506.2838063646877,8411.79151026146,8.084458498569092e+17
1.366546481930405,5.18810908688114,6.983370873515631e+16,188364.39758819065,1549.2972186860525,-967.364172278315,6668.041405834264,5350.125238815368,1327.8488707870356,5710.609937324089,8.509956314283254e+17
1.434873806026925,15.950209332453902,9553931259885352.0,432693.2091534067,10806.581800092223,2794.1214376900707,-547.309574213788,1122.0705084608733,2586.279105311208,6502.471051462152,8.935454129997417e+17
1.5032011301234454,0.021980812434969188,9.65198583842808e+16,124685.93413567767,9024.539317361105,9082.505362852624,5185.540210748634,367.64298997640617,18441.762563477503,27891.91091630653,9.36095194571158e+17
1.5715284542199657,9.384681166456073,6.594600581452943e+16,313693.46139395103,9153.857948169449,4397.609967757367,8695.527019246572,3870.651713836666,9365.18475862794,17633.44644022197,9.786449761425742e+17
1.6398557783164858,11.96725386103002,1.0449632939017806e+17,611772.4353689735,-950.7833494375027,-264.95439153701864,-470.11742341064473,2513.7157233627636,12981.157977526953,15229.9193093527,1.0211947577139905e+18
1.708183102413006,12.556935033505333,7.307680071253314e+16,520608.6196603223,-10162.980310456447,916.895494571721,106.6551959244216,7713.051811441821,-9564.762781011366,-934.8154749978244,1.0637445392854068e+18
1.7765104265095264,16.46964502559682,4.363759290563199e+16,168302.91120657595,8406.36311665985,4632.249788914437,732.8057523875846,5459.100865411935,6411.707475546731,16503.0581298731,1.106294320856823e+18
1.8448377506060467,23.451005857654383,-5.081578462547194e+16,502099.44942213537,18128.790545236,-3661.7983986582176,2219.288026523732,2608.531313059805,9474.11000931724,8420.842923718828,1.1488441024282394e+18
1.9131650747025668,7.814462799000243,1.604266741173175e+17,506327.2739748969,26432.65702844274,-7544.982629070467,3109.7881379718083,3543.290976685874,21571.29966799923,17569.608015614634,1.1913938839996557e+18
1.9814923987990871,8.15054055561584,8.346336963634218e+16,409246.2377072051,29104.27161001341,12475.348312139751,543.7642480993313,-183.69050302865162,1227.423369088936,13519.081178200035,1.233943665571072e+18
2.049819722895607,6.661321543406189,2.5659225697021016e+16,-21377.90341049392,34845.81193862111,1569.076348893202,1317.8595467906425,8024.538578421557,21316.925965723996,30910.540893038757,1.276493447142488e+18
2.1181470469921275,10.962518798564172,9607992731540248.0,639439.9878962733,-5662.380173404599,5525.288834849763,10326.856595972666,5337.331498303272,4107.895499757409,14970.515832910445,1.3190432287139044e+18
2.186474371088648,9.345784722351217,1.451922321541956e+17,174096.18778673257,12162.823257846761,7577.90474784991,8259.316000193685,5067.618844528739,14583.289498250346,27228.81309062899,1.3615930102853207e+18
2.254801695185168,5.4468074492383245,7.670659485947603e+16,257893.39908764538,13570.801082537535,6666.288979847722,532.5831880336837,9830.609048842922,4100.87150375913,20597.769532449773,1.404142791856737e+18
